"ServerName","FilePath","FileSize"
"PTA-HDC-001","Q:\Windows\System32\Config\Software","84.75"
"PTA-HDC-001","Q:\Windows\System32\Config\System","14.75"
"PTA-SRV-001","Q:\Windows\System32\Config\Software","83.5"
"PTA-SRV-001","Q:\Windows\System32\Config\System","18.25"
"RMC-FS-001","Q:\Windows\System32\Config\Software","77.5"
"RMC-FS-001","Q:\Windows\System32\Config\System","12"
"TOO-SRV-002","Q:\Windows\System32\Config\Software","72"
"TOO-SRV-002","Q:\Windows\System32\Config\System","16"
"TOO-TSE-001","Q:\Windows\System32\Config\Software","130"
"TOO-TSE-001","Q:\Windows\System32\Config\System","23.25"
"WPC-FS-001","Q:\Windows\System32\Config\Software","77.5"
"WPC-FS-001","Q:\Windows\System32\Config\System","15.5"
"WPC-HDC-001","Q:\Windows\System32\Config\Software","77.5"
"WPC-HDC-001","Q:\Windows\System32\Config\System","18.5"
