"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"GDA-HVS-001","C:","135.52","124.41",,,,
"GDA-HVS-001","D:","1675.12","1031.52",,,,
,,,,"GDA-FS-001","Running",,
,,,,"GDA-HDC-002","Off",,
"GDA-HVS-001",,,,,,"Rolling Checkpoint - fd109b80-f62c-406e-9b44-43c6382b0a41","Standard"
"GDA-HVS-001",,,,,,"Rolling Checkpoint - 98504740-94f1-459d-8858-dc544d785b27","Standard"
"GDA-HVS-001",,,,,,"Rolling Checkpoint - 10a2ecd9-395e-4896-b0b2-6ff0bd9bfbf0","Standard"
"GDA-HVS-002","C:","1116.65","1086.31",,,,
"GDA-HVS-002","D:","2234.48","791.35",,,,
,,,,"GDA-FS-002","Running",,
"GDA-HVS-002",,,,,,"Rolling Checkpoint - decab04c-1c55-4190-a4f5-c4f7a2cfb0a3","Standard"
,,,,"GDA-HDC-001","Running",,
"GDA-HVS-002",,,,,,"Rolling Checkpoint - 1e153b87-8133-4ad5-938d-6a1b3e6b100f","Standard"
,,,,"GDA-HDC-002","Running",,
,,,,"GDA-RDS-001","Running",,
"GDA-HVS-002",,,,,,"Rolling Checkpoint - 38fbd368-fda4-4b97-9602-c97e4248ccc6","Standard"
,,,,"GDA-TSE-001","Running",,
"GDA-HVS-002",,,,,,"Rolling Checkpoint - 55dcc65c-9082-43f5-b1d9-47649277c113","Standard"
,,,,"GDA-WKS-001","Running",,
,,,,"GDA-WKS-002","Running",,
,,,,"GDA-WKS-003","Running",,
,,,,"GDA-WKS-006","Off",,
"HSFG-HVS-002","C:","135.78","91.48",,,,
"HSFG-HVS-002","D:","2048","445.21",,,,
,,,,"HSFG-APP-001","Running",,
,,,,"HSFG-FS-001","Running",,
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - fe072a72-2f7b-4b7f-8a16-9b863570f024","Standard"
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - 52324d8a-74ed-4a53-b78f-e1c700f2bbe6","Standard"
"HSFG-HVS-002",,,,,,"Rolling Checkpoint - 2523a61c-e57f-43bc-a408-2fc8e60c3516","Standard"
